AbbreviatioExpansion
25-OHD     25-hydroxyvitamin D
1,25(OH)2D 1,25-Dihydroxyvitamin D
AAAS       Achalasia addisonianism alacrima syndrome
ABCA1      ATP-binding cassette, sub-family A (ABC1), member 1
ABCC8      Adenosine triphosphate-binding cassette, subfamily C, member 8
ABCD1      ATP-binding cassette, sub-family D (ALD), member 1
ABS2       Antley-Bixler syndrome, type 2
ACTH       Adrenocorticotropic hormone
ADH        Antiduretic hormone
AGPAT2     1-acylglycerol-3-phosphate O-acyltransferase 2
AIRE       Autoimmune regulator
AKR1C2     Aldo-keto reductase family 1, member C2
ALADIN     Alacrima-achalasia-adrenal insufficiency neurologic disorder
ALMS1      Alstrom syndrome protein 1
ALS        Acid-labile subunit
AMH        Anti-Müllerian hormone
AMHR2      Anti-Müllerian hormone receptor type 2
apoB       Apolipoprotein B
APOE       Apolipoprotein E
AQP2       Aquaporin 2
AR         Androgen receptor
ARL6       ADP-ribosylation factor-like 6
ARX        Aristaless-related homeobox protein
ATP        Adenosine triphosphate
ATRX       X-linked helicase 2
AVP        Arginine vasopressin
AVPR2      Arginine vasopressin receptor 2
BBS1       Bardet-Biedl syndrome 1
BBS2       Bardet-Biedl syndrome 2
BBS3       Bardet-Biedl syndrome 3
BBS4       Bardet-Biedl syndrome 4
BBS5       Bardet-Biedl syndrome 5
BBS6       Bardet-Biedl syndrome 6
BBS7       Bardet-Biedl syndrome 7
BBS8       Bardet-Biedl syndrome 8
BBS9       Bardet-Biedl syndrome 9
BBS10      Bardet-Biedl syndrome 10
BBS11      Bardet-Biedl syndrome 11
BBS12      Bardet-Biedl syndrome 12
BBS13      Bardet-Biedl syndrome 13
BBS14      Bardet-Biedl syndrome 14
BBS15      Bardet-Biedl syndrome 15
BBS16      Bardet-Biedl syndrome 16
BMP15      Bone morphogenetic protein 15
BRAF       B-Raf proto-oncogene, serine/threonine kinase
BSCL2      Berardinelli-Seip congenital lipodystrophy 2 (seipin)
Ca         Calcium
CAH        Congenital adrenal hyperplasia
CASP8      Caspase 8, apoptosis-related cysteine peptidase
CASP10     Caspase 10, apoptosis-related cysteine peptidase
CASR       Calcium-sensing receptor
CBX2       Chromobox homolog 2
CD95       Cluster of differentiation 95
CD95L      Cluster of differentiation 95 ligand
CDKN1B     Cyclin-dependent kinase inhibitor 1B (p27, Kip1)
CDKN1C     Cyclin-dependent kinase inhibitor 1C
CEP290     Centrosomal protein 290kDa
CFC        Cardiofaciocutaneous
CHARGE     Coloboma, heart anomaly, choanal atresia, retardation, genital and ear ano
CHD7       Chromodomain helicase DNA binding protein 7
CISD2      CDGSH iron sulfur domain 2
Cl         Chloride
CNS        Central nervous system
COH1       Cohen syndrome 1
COL2A1     Collagen, type II, alpha 1
CPHD       Combined pituitary hormone deficiency
CRH        Corticotropin-releasing hormone
CRP        C-reactive protein, pentraxin-related
CT         Computed tomography
CTNNB1     Beta-catenin
CYB5A      Cytochrome B5, type A
CYLN2      Cytoplasmic linker 2
CYP11A1    Cytochrome P450, family 11, subfamily A, polypeptide 1
CYP11B1    Cytochrome P450, family 11, subfamily B, polypeptide 1
CYP11B2    Cytochrome P450, family 11, subfamily B, polypeptide 2
CYP17A1    Cytochrome P450, family 17, subfamily A, polypeptide 1
